5/5/2021	5763	962	9419	6315	4497	9818	7989	----	5334	----	1198	4311	6625	7112	----	3120	754	7050	4853	456	9463	2132	7588	7239	1451	6852
2/5/2021	4324	8929	4456	----	1957	2920	8405	4329	5894	7216	----	3196	3176	2103	----	6577	4010	5759	9625	681	6642	5100	5747	3502	448	4039
1/5/2021	5044	7704	2671	6876	4311	1563	6294	----	----	1254	1690	----	357	3335	7362	3943	8070	2789	6753	2699	7844	3084	8328	9383	7200	6045
28/4/2021	4871	2926	9344	7670	5614	----	4504	7186	4186	8258	----	670	8884	6182	1085	----	6458	3729	9069	9484	1572	3604	3780	7810	6914	1751
25/4/2021	2571	8756	7394	2807	5684	1608	1684	7774	2288	4552	----	----	6267	26	1312	----	2059	1896	7874	7944	6199	61	4274	6396	5827	1020
24/4/2021	8294	4630	2474	8619	7917	5658	----	5287	6607	5569	111	2341	4731	----	6131	----	5932	7435	543	7794	5195	4571	3701	1924	4819	2147
21/4/2021	1777	6740	1985	6917	7550	1442	5268	4175	----	----	998	----	6886	9225	290	1950	8060	9640	3336	6140	3734	342	9372	5674	4573	3685
18/4/2021	3891	1241	4836	4862	4075	7150	----	----	5363	7579	----	946	4636	1290	3414	6194	8932	9546	1376	8210	785	1919	2924	4135	4196	5948
17/4/2021	1426	111	8889	4457	684	----	2555	----	3892	2217	3007	7382	2557	7469	9901	----	2217	5173	9282	2828	3606	1052	7442	4343	3194	2602
14/4/2021	8599	6167	4607	9731	8153	7852	----	3140	1744	----	----	9340	8437	4873	4158	5998	1163	9596	5704	4071	8222	599	584	5467	7373	6501
11/4/2021	9088	3621	9785	8293	----	3706	8061	3438	----	1760	4365	5421	5566	4539	3119	----	4093	4394	9857	5741	8321	5272	6380	1610	5301	3963
10/4/2021	9824	2000	7666	----	8746	872	3989	61	8967	2350	5196	4110	----	1646	4369	----	7906	1533	2403	3018	9056	8526	4310	1861	9091	2885
7/4/2021	6191	7410	1348	5482	5382	6081	----	4073	3104	----	----	924	4331	8709	692	1291	2589	6284	485	1776	4095	1649	5188	6604	8782	4467
6/4/2021	7439	6426	1896	7053	----	6901	5240	3140	2159	8569	3780	2371	795	----	7416	----	5440	9772	384	5267	1606	8355	6724	4589	7301	6989
4/4/2021	6577	2992	3513	6040	509	1667	399	----	6205	----	4201	9216	2076	----	7711	203	3030	4591	7248	6862	682	702	6073	7235	3441	7675
3/4/2021	8985	786	5185	2525	409	----	----	3389	5502	5693	8893	----	7451	5412	7741	9210	447	6032	7883	5342	2255	2925	7577	3862	45	9558
31/3/2021	8199	6710	1111	2696	4526	3470	511	7501	6182	----	934	2764	5710	5289	----	----	3596	1506	3716	2946	2428	1821	1346	6634	7858	2285
30/3/2021	8992	5898	7227	----	6424	2323	1414	4912	2378	7896	3266	2716	1992	----	3774	----	9546	2265	1909	2308	1479	9463	4141	5780	1542	2593
28/3/2021	2593	2694	9444	9097	1531	2543	8626	5053	1527	8967	----	4785	----	1798	1424	----	4785	450	3759	3010	3534	7990	7294	4279	4376	7086
27/3/2021	5833	1989	1057	----	3588	3510	3087	1586	5736	----	1645	----	7567	4229	9511	3340	4261	7383	5989	3630	8629	4613	3588	2059	9548	8524
24/3/2021	8011	2694	9244	----	2362	----	8236	8941	4080	8481	6569	----	6283	4012	2011	7874	2572	8191	2305	6743	6880	9915	1863	8691	2450	3921
21/3/2021	8644	1907	6075	5783	7784	----	8260	9540	769	6192	5786	2842	----	----	856	4791	5755	9381	5882	9889	714	91	3699	2788	5910	2687
20/3/2021	133	3921	9281	----	9506	4372	5999	1644	----	8227	5496	3774	7623	----	6593	4981	6879	2865	5204	8767	8314	6862	5899	6136	8438	2388
17/3/2021	3751	7025	941	746	5802	----	6211	9085	----	5955	5506	----	8023	3209	8816	3549	8119	1564	1053	3045	2248	1483	3037	9325	9277	7601
14/3/2021	8909	2915	5836	----	9043	5604	2524	5873	----	7981	9576	699	1933	9798	5856	----	1655	242	6687	5347	3108	5546	1570	5024	5811	7607
